rank,appId,name,currentPlayers,peakPlayers,hoursPlayed,Australian Dollar,Brazilian Real,British Pound,CIS - U.S. Dollar,Canadian Dollar,Chilean Peso,Chinese Yuan,Colombian Peso,Costa Rican Colon,Euro,Hong Kong Dollar,Indian Rupee,Indonesian Rupiah,Israeli New Shekel,Japanese Yen,Kazakhstani Tenge,Kuwaiti Dinar,LATAM - U.S. Dollar,MENA - U.S. Dollar,Malaysian Ringgit,Mexican Peso,New Zealand Dollar,Norwegian Krone,Peruvian Sol,Philippine Peso,Polish Zloty,Qatari Riyal,Russian Ruble,Saudi Riyal,Singapore Dollar,South African Rand,South Asia - USD,South Korean Won,Swiss Franc,Taiwan Dollar,Thai Baht,U.A.E. Dirham,U.S. Dollar,Ukrainian Hryvnia,Uruguayan Peso,Vietnamese Dong
68,108600,Project Zomboid,12717,30993,13950195,"16,75€","9,31€","19,81€","9,25€","16,51€","9,82€","9,30€","10,12€","14,82€","19,50€","14,08€","9,06€","8,94€","18,34€","14,09€","9,--€","9,63€","9,25€","9,25€","10,12€","10,42€","15,16€","19,09€","10,32€","9,75€","21,65€","10,66€","7,80€","9,63€","12,64€","9,11€","7,22€","13,66€","23,53€","9,59€","10,75€","12,73€","17,63€","8,87€","12,60€","8,83€"
69,2358720,Black Myth: Wukong,12270,30046,9562621,"51,09€","35,70€","59,14€","52,92€","50,81€","37,42€","32,81€","42,40€","48,66€","59,99€","33,57€","37,07€","37,72€","61,77€","46,50€","34,62€","53,18€","52,92€","52,92€","45,24€","45,66€","52,28€","51,99€","47,78€","41,21€","58,62€","55,52€","39,56€","53,86€","54,61€","41,80€","52,92€","41,17€","74,79€","37,42€","48,39€","55,--€","52,92€","36,33€","38,10€","44,12€"
70,261550,Mount & Blade II: Bannerlord,12012,28798,11554992,"41,18€","31,05€","50,86€","26,45€","41,28€","27,97€","30,36€","33,87€","39,94€","49,99€","40,44€","25,74€","29,58€","47,12€","39,82€","27,52€","44,70€","22,04€","17,63€","30,78€","41,14€","41,84€","43,40€","30,01€","28,54€","54,14€","46,06€","30,76€","44,45€","44,42€","41,80€","39,69€","38,12€","58,84€","40,90€","40,32€","45,39€","44,10€","18,15€","32,83€","27,17€"
71,646570,Slay the Spire,12005,22899,9373185,"21,01€","11,64€","23,65€","11,46€","20,32€","12,16€","10,40€","12,57€","18,31€","22,99€","16,78€","11,33€","11,37€","22,07€","17,15€","9,52€","14,34€","10,13€","10,13€","14,46€","13,25€","19,34€","20,39€","13,20€","12,36€","17,65€","14,30€","10,98€","13,87€","16,39€","12,26€","10,13€","17,15€","24,06€","14,59€","13,42€","15,61€","22,04€","10,67€","15,25€","10,59€"
72,1158310,Crusader Kings III,11724,31228,13008160,"39,73€","27,94€","49,67€","29,54€","42,55€","32,93€","24,24€","33,58€","46,05€","49,99€","35,82€","27,80€","28,93€","47,88€","42,82€","28,56€","42,69€","26,45€","26,45€","35,33€","35,06€","41,84€","48,52€","34,44€","31,69€","54,62€","46,06€","30,43€","35,28€","38,28€","31,02€","29,10€","34,95€","56,16€","37,07€","36,55€","45,87€","44,10€","26,06€","36,62€","28,19€"
73,629520,Soundpad,11619,31124,12928224,"4,26€","2,63€","5,07€","2,90€","4,12€","2,80€","2,69€","2,87€","4,18€","4,99€","3,71€","2,57€","2,55€","4,58€","3,55€","2,59€","3,16€","2,63€","2,63€","2,89€","2,94€","3,86€","4,81€","2,88€","2,77€","5,41€","3,14€","2,19€","2,81€","3,58€","2,56€","2,63€","3,55€","5,87€","2,98€","3,09€","3,60€","4,40€","2,65€","3,36€","2,49€"
74,1142710,Total War: WARHAMMER III,11583,31070,13368883,"56,77€","46,42€","59,14€","52,92€","50,81€","39,29€","36,48€","44,74€","55,82€","59,99€","52,72€","46,34€","34,97€","62,--€","42,89€","43,28€","57,49€","44,10€","44,10€","39,04€","45,66€","59,08€","60,67€","48,02€","35,12€","68,04€","60,61€",,"58,80€","47,16€","49,19€","52,92€","38,12€","78,--€","52,34€","37,38€","60,04€","52,92€","40,60€","42,34€","36,05€"
75,582010,Monster Hunter: World,11501,34352,10957319,"25,53€","15,37€","29,56€","15,87€","25,40€","16,83€","18,12€","16,98€","16,92€","29,99€","26,36€","25,72€","18,05€","31,25€","18,32€","15,92€","29,46€","15,87€","15,87€","20,24€","17,82€","25,61€","25,08€","16,56€","19,17€","29,43€","29,09€",,"29,63€","28,02€","22,11€","26,45€","22,11€","37,33€","26,90€","19,87€","29,78€","26,45€","16,01€","17,15€","18,68€"
76,813780,Age of Empires II: Definitive Edition,11435,31994,13494800,"22,69€","13,97€","30,74€","17,63€","25,40€","16,83€","23,01€","17,02€","31,22€","32,99€","23,43€","14,41€","16,14€","32,25€","23,89€","20,25€","30,15€","17,63€","17,63€","18,18€","15,95€","26,67€","32,90€","28,21€","22,04€","32,72€","24,24€",,"30,57€","34,78€","17,18€","17,63€","23,19€","34,77€","31,81€","18,29€",,"30,86€","18,81€","18,--€","15,28€"
77,766570,Russian Fishing 4,11380,19470,7355529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
